folder,vol_error_af,vol_error_pct,start_time,end_time,max_wse,max_depth,max_face_velocity,max_velocity,max_volume,max_flow_balance,max_wind_EventCond,max_prcp_EventCond,max_bc_flow_EventCond,max_bc_stage_EventCond,max_IC_elevation,unique_manning,unique_cell_infiltration_initial_deficit,unique_cell_infiltration_maximum_deficit,unique_cell_infiltration_pot_percolation_rate,unique_cell_impervious_pct_imper
S0168,9967.6591796875,0.4538278579711914,12Jul2000 00:15:00,16Jul2000 06:00:00,327.6592712402344,7.933371543884277,9.153080940246582,9696.80391601571,558536448.0,138176.328125,,,,,,14,,,,
S0707,18383.84765625,0.4645269811153412,10Jul2000 00:15:00,17Jul2000 06:00:00,327.6592712402344,5.873870849609375,13.323440551757812,22826.485625000067,574167488.0,151719.328125,,,,,,14,,,,
S0192,20137.60546875,0.43558233976364136,09Jul2000 00:15:00,17Jul2000 06:00:00,327.6592712402344,8.79627799987793,11.545823097229004,28179.3538671875,558511360.0,163631.390625,,,,,,14,,,,
S0725,17080.3984375,0.5134177803993225,10Jul2000 00:15:00,17Jul2000 00:00:00,327.6592712402344,8.174810409545898,15.528523445129395,20481.958554687575,558455808.0,157992.4375,,,,,,14,,,,
S0122,43501.515625,0.9074916839599609,09Jul2000 00:15:00,17Jul2000 12:00:00,327.6592712402344,8.350016593933105,10.947521209716797,27660.477968750107,579449216.0,175647.234375,176.20193481445312,,,5.351766109466553,21.670000076293945,14,,,,
S0434,22040.3203125,0.44000980257987976,09Jul2000 00:15:00,17Jul2000 12:00:00,327.6592712402344,7.943826675415039,12.700050354003906,30252.023554687563,562312640.0,168306.640625,158.39695739746094,,,5.304665565490723,21.670000076293945,14,,,,
S0743,20428.734375,0.4276360869407654,09Jul2000 00:15:00,17Jul2000 06:00:00,327.6592712402344,9.616477966308594,11.170559883117676,26988.50429687517,599412864.0,158500.1875,,,,,,14,,,,
S0126,12884.80078125,0.2903560698032379,11Jul2000 09:15:00,16Jul2000 12:00:00,327.6592712402344,17.116771697998047,18.405298233032227,,,,,,,,,14,,,,
S0452,24602.12890625,0.6041921973228455,10Jul2000 00:15:00,17Jul2000 06:00:00,327.6592712402344,17.812990188598633,39.08513641357422,24581.84945312501,580775104.0,229358.3125,,,,,,14,,,,
S0761,17292.3046875,0.3521521985530853,10Jul2000 00:15:00,17Jul2000 06:00:00,327.6592712402344,12.448259353637695,17.142005920410156,27902.734785156492,603072896.0,268032.28125,,,,,,14,,,,
S0470,17770.396484375,0.42380017042160034,10Jul2000 00:15:00,17Jul2000 06:00:00,327.6592712402344,9.665741920471191,20.365524291992188,23811.349765625004,589767872.0,211749.078125,,,,,,14,,,,
S0706,17223.05859375,0.4910873472690582,10Jul2000 00:15:00,17Jul2000 00:00:00,327.6592712402344,7.8025665283203125,11.267096519470215,20756.182128906366,557797632.0,178868.421875,,,,,,14,,,,
S0191,9845.345703125,0.34567898511886597,12Jul2000 00:15:00,16Jul2000 06:00:00,327.6592712402344,10.997882843017578,16.3223934173584,13368.972597656344,579665344.0,201803.171875,,,,,,14,,,,
S0724,19662.177734375,0.40148594975471497,10Jul2000 00:15:00,17Jul2000 06:00:00,327.6592712402344,10.122369766235352,12.11609935760498,28696.854589843835,585646912.0,190401.65625,,,,,,14,,,,
S0146,21769.4375,0.442230224609375,09Jul2000 00:15:00,17Jul2000 06:00:00,327.6592712402344,19.80095100402832,19.43634796142578,,,,,,,,,14,,,,
