folder,vol_error_af,vol_error_pct,start_time,end_time,max_wse,max_depth,max_face_velocity,max_velocity,max_volume,max_flow_balance,max_wind_EventCond,max_prcp_EventCond,max_bc_flow_EventCond,max_bc_stage_EventCond,max_IC_elevation,unique_manning,unique_cell_infiltration_initial_deficit,unique_cell_infiltration_maximum_deficit,unique_cell_infiltration_pot_percolation_rate,unique_cell_impervious_pct_imper,max_cum_prcp
SS1462_PP244_SM1_BF1_SLR4,31387.919921875,0.446479856967926,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.474853515625,113.54100036621094,33972.822031250005,614255360.0,143508.78125,inf,0.45883050560951233,5030.0,10.666666984558105,21.670000076293945,262608,226035,248471,1,216364,
SS1462_PP251_SM3_BF1_SLR4,37662.4609375,0.533743679523468,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,10.8845796585083,98.37699127197266,33978.052460937615,614464512.0,143349.5,inf,5.109902858734131,8530.0,6.366399765014648,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP223_SM3_BF1_SLR4,29405.5234375,0.4168044328689575,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,14.656383514404297,141.137939453125,33993.22503906253,613599488.0,143448.40625,inf,5.15308952331543,7740.0,6.366399765014648,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP231_SM5_BF1_SLR4,33767.1796875,0.4541051387786865,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.87100219726562,91.10545349121094,33955.907382812664,617788224.0,143459.046875,inf,0.8993760943412781,6520.0,10.666666984558105,21.670000076293945,262564,189186,248444,1,216314,
SS1462_PP243_SM3_BF1_SLR4,37288.4609375,0.521044135093689,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.41917419433594,113.4449462890625,33917.455703125364,616257664.0,143475.84375,inf,6.469880104064941,13700.0,6.366399765014648,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP238_SM2_BF1_SLR4,35297.63671875,0.4969358742237091,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.63450622558594,91.1065902709961,33963.81152343759,618351936.0,143408.5625,inf,5.856575965881348,5690.0,6.366399765014648,21.670000076293945,262566,218184,248376,2,216306,
SS1462_PP248_SM3_BF1_SLR4,38486.09765625,0.5426946878433228,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,37.18360900878906,129.443359375,33992.85378906253,613905408.0,143550.59375,inf,0.6163506507873535,6850.0,10.666666984558105,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP240_SM3_BF1_SLR4,37520.30078125,0.5220485925674438,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.00621032714844,91.10575866699219,2.86,614647616.0,143397.546875,,,,,,262648,211902,248520,1,216366,
SS1462_PP193_SM1_BF1_SLR4,32122.025390625,0.4567267596721649,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.324462890625,106.60060119628906,33978.07417968764,614143296.0,143380.0625,inf,0.6173244118690491,7680.0,10.666666984558105,21.670000076293945,262608,226035,248471,1,216364,
SS1462_PP266_SM2_BF1_SLR4,38712.0625,0.5376797318458557,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.35043334960938,113.56209564208984,33973.544257812544,616209088.0,143648.859375,inf,7.904328346252441,5620.0,6.366399765014648,21.670000076293945,262566,218184,248376,2,216306,
SS1462_PP229_SM2_BF1_SLR4,29992.14453125,0.42276787757873535,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.2755126953125,113.31230163574219,33973.73375000004,615496896.0,143435.328125,inf,5.398514747619629,10800.0,6.366399765014648,21.670000076293945,262566,218184,248376,2,216306,
SS1462_PP256_SM4_BF1_SLR4,30977.83203125,0.4395010769367218,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,26.628761291503906,141.13819885253906,3.76,613145408.0,143674.359375,,,,,,262648,204368,248520,0,216366,
SS1462_PP253_SM5_BF1_SLR4,33177.01953125,0.46998876333236694,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,47.82382583618164,129.44345092773438,33978.08261718765,613784640.0,143501.140625,inf,4.838420867919922,4840.0,6.366399765014648,21.670000076293945,262564,189186,248444,1,216314,
SS1462_PP262_SM2_BF1_SLR4,37766.90625,0.523575484752655,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,58.078006744384766,129.44248962402344,3.36,615894208.0,143401.375,,,,,,262566,218183,248375,1,216306,
SS1462_PP250_SM4_BF1_SLR4,35878.60546875,0.4930521249771118,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.7105712890625,91.10431671142578,33917.305078125224,616899072.0,143315.921875,inf,0.9037079215049744,6180.0,10.666666984558105,21.670000076293945,262648,204369,248521,1,216366,
SS1462_PP245_SM2_BF1_SLR4,31796.767578125,0.4489426910877228,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,62.96651077270508,91.09697723388672,33917.61988281302,616956480.0,143508.046875,inf,0.6315693855285645,5840.0,10.666666984558105,21.670000076293945,262566,218184,248376,2,216306,
SS1462_PP288_SM2_BF1_SLR4,36313.97265625,0.513073742389679,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,45.26142501831055,141.1383056640625,3.44,614963072.0,143469.109375,,,,,,262566,218183,248375,1,216306,
SS1462_PP260_SM4_BF1_SLR4,33957.61328125,0.4827136695384979,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.36583709716797,113.56471252441406,2.91,612769536.0,143490.5,,,,,,262648,204368,248520,0,216366,
SS1462_PP268_SM3_BF1_SLR4,34365.74609375,0.4863072335720062,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.27421569824219,129.4438018798828,33891.58160156274,614734336.0,143404.640625,inf,4.427021503448486,6150.0,6.366399765014648,21.670000076293945,262648,211903,248521,2,216366,
