Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0479_PP492_SM2_BF1_SLR4,SUCCESS,17.349444444444444,288,,34069.,0.2417,1.22,Feb 11 22:10,Feb 12 15:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0479_PP499_SM4_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:15,N/A,,,,,,,,,,
SS0483_PP034_SM5_BF1_SLR4,SUCCESS,17.87527777777778,288,,35530.,0.2346,1.25,Feb 07 18:19,Feb 08 12:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0483_PP131_SM4_BF1_SLR4,SUCCESS,18.723888888888887,304,,35471.,0.2342,2.15,Feb 13 05:55,Feb 14 00:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0483_PP477_SM3_BF1_SLR4,SUCCESS,17.893055555555556,288,,35232.,0.2332,1.32,Feb 13 05:54,Feb 13 23:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP002_SM3_BF1_SLR4,SUCCESS,21.77111111111111,352,,38863.,0.2550,1.24,Feb 07 18:39,Feb 08 16:26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP019_SM2_BF1_SLR4,SUCCESS,20.63611111111111,336,,38775.,0.2543,0.64,Feb 11 22:18,Feb 12 18:56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP022_SM2_BF1_SLR4,SUCCESS,21.647222222222222,352,,39287.,0.2570,1.20,Feb 13 06:14,Feb 14 03:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP033_SM3_BF1_SLR4,SUCCESS,21.047500000000003,352,,38896.,0.2547,1.84,Feb 13 06:12,Feb 14 03:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP046_SM1_BF1_SLR4,SUCCESS,22.878055555555555,368,,38961.,0.2541,1.16,Feb 13 06:13,Feb 14 05:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
