Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
S1463,SUCCESS,9.658055555555556,40,,24281.,0.3017,0.50,Mar 15 18:11,Mar 16 03:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1464,SUCCESS,6.473611111111111,28,,17767.,0.2918,0.18,Jul 23 17:15,Jul 23 23:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1465,SUCCESS,5.328055555555555,24,,15575.,0.2790,0.32,Jul 23 17:13,Jul 23 22:33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1466,SUCCESS,8.586388888888889,36,,23831.,0.2864,1.06,Jul 23 17:18,Jul 24 01:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1467,SUCCESS,6.899722222222222,28,,17537.,0.2505,0.70,Jul 23 17:15,Jul 24 00:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1468,SUCCESS,6.447777777777778,28,,16273.,0.2470,0.21,Jul 23 17:15,Jul 23 23:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1469,SUCCESS,8.208055555555555,36,,20810.,0.3152,0.16,Mar 15 18:12,Mar 16 02:24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1470,SUCCESS,10.599444444444446,44,,29695.,0.3558,3.48,Mar 15 18:23,Mar 16 04:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1471,SUCCESS,7.682222222222222,32,,18646.,0.2756,0.36,Jul 23 17:16,Jul 24 00:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1472,SUCCESS,7.469166666666667,32,,20722.,0.3081,2.67,Jul 23 17:15,Jul 24 00:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1473,SUCCESS,7.6275,32,,18759.,0.3012,0.40,Jul 23 17:17,Jul 24 00:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1474,SUCCESS,5.458333333333334,24,,15305.,0.2515,0.17,Jul 23 17:14,Jul 23 22:41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1475,SUCCESS,7.413611111111112,32,,20673.,0.3073,0.16,Jul 23 17:17,Jul 24 00:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1476,SUCCESS,6.8116666666666665,28,,16820.,0.2514,0.72,Jul 23 17:15,Jul 24 00:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1477,SUCCESS,10.111666666666666,44,,29193.,0.3857,3.40,Mar 15 18:17,Mar 16 04:24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1478,SUCCESS,9.210277777777778,40,,19189.,0.3084,0.80,Jul 23 17:16,Jul 24 02:29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1479,SUCCESS,10.4075,44,,23165.,0.2774,0.78,Mar 15 18:15,Mar 16 04:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1480,SUCCESS,6.9591666666666665,28,,13958.,0.2412,0.17,Jul 23 17:14,Jul 24 00:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1481,SUCCESS,6.657500000000001,28,,11579.,0.2153,2.78,Jul 23 17:17,Jul 23 23:56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1482,SUCCESS,9.184444444444445,40,,20767.,0.3204,0.97,Mar 15 18:15,Mar 16 03:26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1483,SUCCESS,7.6530555555555555,32,,17501.,0.2858,2.10,Jul 23 17:23,Jul 24 01:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1484,SUCCESS,9.409166666666668,40,,21109.,0.3132,0.98,Mar 15 18:18,Mar 16 03:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1485,SUCCESS,7.0811111111111105,32,,18432.,0.2870,0.44,Jul 23 17:22,Jul 24 00:26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1486,SUCCESS,7.189166666666667,32,,18554.,0.2597,1.35,Jul 23 17:22,Jul 24 00:33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1487,SUCCESS,8.809444444444445,36,,16936.,0.2373,2.92,Jul 23 17:19,Jul 24 02:08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1488,SUCCESS,9.44138888888889,40,,21163.,0.2723,1.34,Mar 15 18:15,Mar 16 03:41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1489,SUCCESS,8.942222222222222,36,,20398.,0.2983,0.63,Jul 23 17:22,Jul 24 02:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1490,SUCCESS,3.833888888888889,16,,8294.,0.1954,0.09,Jul 23 17:17,Jul 23 21:07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1581,SUCCESS,8.918055555555554,36,,17457.,0.2572,0.55,Jul 23 17:23,Jul 24 02:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1582,SUCCESS,10.2875,44,,17031.,0.2904,0.36,Jul 23 17:20,Jul 24 03:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1583,SUCCESS,7.396944444444445,32,,18533.,0.2849,0.34,Jul 23 17:22,Jul 24 00:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1584,SUCCESS,9.071388888888889,40,,21614.,0.3265,0.37,Mar 15 18:23,Mar 16 03:27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1585,SUCCESS,11.204166666666666,48,,17430.,0.2593,0.15,Jul 23 17:22,Jul 24 04:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1586,SUCCESS,11.519722222222223,48,,19974.,0.3210,0.14,Jul 23 17:24,Jul 24 04:55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1587,SUCCESS,4.5874999999999995,20,,9925.,0.2142,0.18,Jul 23 17:18,Jul 23 21:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1588,SUCCESS,8.220555555555556,36,,19996.,0.3231,0.12,Jul 23 17:23,Jul 24 01:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1589,SUCCESS,10.546111111111111,44,,21552.,0.3151,0.79,Mar 15 18:22,Mar 16 04:55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1590,SUCCESS,11.326944444444445,48,,22682.,0.2972,3.39,Jul 23 17:24,Jul 24 04:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1591,SUCCESS,7.290277777777778,32,,17258.,0.2802,2.88,Jul 23 17:23,Jul 24 00:41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1592,SUCCESS,7.2275,32,,16786.,0.2345,0.87,Jul 23 17:24,Jul 24 00:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1593,SUCCESS,7.511666666666667,32,,17767.,0.2768,1.39,Jul 23 17:24,Jul 24 00:55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1594,SUCCESS,5.651111111111112,24,,13068.,0.2212,1.22,Jul 23 17:22,Jul 23 23:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1595,SUCCESS,10.092222222222222,44,,20448.,0.2823,2.14,Mar 15 18:25,Mar 16 04:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1596,SUCCESS,7.349444444444444,32,,13461.,0.2461,2.85,Jul 23 17:22,Jul 24 00:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1597,SUCCESS,12.649166666666666,52,,23028.,0.2802,4.49,Jul 23 17:27,Jul 24 06:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
