Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0114_PP002_SM1_BF1_SLR1,SUCCESS,14.701944444444443,60,,44036.,0.4474,1.24,Mar 22 06:50,Mar 22 21:33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP002_SM4_BF1_SLR1,SUCCESS,13.645,56,,43450.,0.4398,0.78,Mar 22 07:33,Mar 22 21:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP004_SM4_BF1_SLR1,SUCCESS,14.935,60,,43316.,0.4390,0.37,Apr 14 13:05,Apr 15 04:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP008_SM1_BF1_SLR1,SUCCESS,15.428055555555554,64,,43542.,0.4363,0.41,Apr 13 02:13,Apr 13 17:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP009_SM1_BF1_SLR1,SUCCESS,15.295833333333333,64,,42665.,0.4317,0.43,Apr 17 10:57,Apr 18 02:14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP012_SM4_BF1_SLR1,SUCCESS,14.898333333333333,60,,43520.,0.4435,0.49,Mar 22 07:14,Mar 22 22:07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP017_SM4_BF1_SLR1,SUCCESS,13.820555555555556,56,,42564.,0.4305,0.54,Mar 30 07:27,Mar 30 21:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP027_SM1_BF1_SLR1,SUCCESS,16.689166666666665,68,,42126.,0.4274,0.31,Apr 10 10:16,Apr 11 02:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP035_SM1_BF1_SLR1,SUCCESS,16.906666666666666,68,,43848.,0.4440,0.48,Apr 14 11:48,Apr 15 04:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP041_SM4_BF1_SLR1,SUCCESS,13.198333333333334,56,,43459.,0.4283,0.50,Mar 26 02:01,Mar 26 15:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP057_SM4_BF1_SLR1,SUCCESS,17.155277777777776,72,,42590.,0.4272,0.53,Mar 30 03:33,Mar 30 20:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP058_SM2_BF1_SLR1,SUCCESS,13.681111111111111,56,,43230.,0.4382,0.59,Mar 25 10:16,Mar 25 23:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP061_SM4_BF1_SLR1,SUCCESS,14.293611111111112,60,,41982.,0.4253,0.58,Mar 22 04:30,Mar 22 18:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP062_SM2_BF1_SLR1,SUCCESS,18.496944444444445,76,,42933.,0.4353,0.49,Mar 30 03:42,Mar 30 22:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP073_SM1_BF1_SLR1,SUCCESS,17.609722222222224,72,,42734.,0.4357,0.81,Apr 10 23:11,Apr 11 16:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP082_SM2_BF1_SLR1,SUCCESS,15.021111111111113,64,,42664.,0.4301,0.60,Apr 09 20:14,Apr 10 11:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP096_SM3_BF1_SLR1,SUCCESS,13.381944444444445,56,,42903.,0.4351,0.54,Mar 25 10:09,Mar 25 23:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP102_SM1_BF1_SLR1,SUCCESS,19.585555555555555,80,,42911.,0.4287,0.72,Apr 10 11:55,Apr 11 07:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
