Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0997_PP443_SM1_BF1_Base,SUCCESS,21.0,84.0,,40851.0,0.3469,1.26,Jan  9 13:16,Jan 10 09:40,,,,,,,,,,
SS0997_PP441_SM4_BF1_Base,SUCCESS,20.0,80.0,,42630.0,0.369,1.72,Dec 30 16:24,Dec 31 11:56,,,,,,,,,,
SS0997_PP430_SM2_BF1_Base,SUCCESS,21.0,84.0,,44305.0,0.3806,2.67,Jan  9 13:17,Jan 10 09:31,,,,,,,,,,
SS0997_PP439_SM4_BF1_Base,SUCCESS,20.0,80.0,,39878.0,0.3263,2.92,Jan 10 17:33,Jan 11 13:32,,,,,,,,,,
SS0997_PP440_SM5_BF1_Base,SUCCESS,25.0,100.0,,41340.0,0.3508,0.68,Jan  8 14:36,Jan  9 15:03,,,,,,,,,,
SS0997_PP434_SM3_BF1_Base,SUCCESS,21.0,84.0,,43698.0,0.3706,2.99,Jan  9 13:13,Jan 10 09:40,,,,,,,,,,
SS0997_PP435_SM3_BF1_Base,SUCCESS,20.0,80.0,,43626.0,0.378,1.05,Jan  8 14:28,Jan  9 09:54,,,,,,,,,,
SS0997_PP431_SM3_BF1_Base,SUCCESS,19.0,76.0,,43478.0,0.3733,1.25,Jan  8 14:32,Jan  9 09:25,,,,,,,,,,
SS0997_PP454_SM3_BF1_Base,SUCCESS,20.0,80.0,,40744.0,0.3478,1.24,Jan 11 19:32,Jan 12 15:08,,,,,,,,,,
SS0997_PP465_SM2_BF1_Base,SUCCESS,20.0,80.0,,43667.0,0.3773,0.47,Jan  8 14:29,Jan  9 09:34,,,,,,,,,,
SS0997_PP442_SM1_BF1_Base,SUCCESS,20.0,80.0,,42482.0,0.3582,1.28,Jan  5 13:54,Jan  6 09:35,,,,,,,,,,
SS0997_PP457_SM2_BF1_Base,SUCCESS,21.0,84.0,,45205.0,0.3931,0.85,Jan  9 13:24,Jan 10 09:52,,,,,,,,,,
SS0997_PP460_SM2_BF1_Base,SUCCESS,19.0,76.0,,44451.0,0.3871,0.58,Jan  9 13:15,Jan 10 08:03,,,,,,,,,,
SS0997_PP447_SM4_BF1_Base,SUCCESS,21.0,84.0,,40876.0,0.3409,3.21,Jan  5 13:53,Jan  6 10:00,,,,,,,,,,
SS0997_PP448_SM3_BF1_Base,SUCCESS,20.0,80.0,,43635.0,0.3736,1.12,Dec 30 16:44,Dec 31 11:57,,,,,,,,,,
SS0997_PP445_SM4_BF1_Base,SUCCESS,20.0,80.0,,43053.0,0.3725,0.46,Jan  6 17:31,Jan  7 12:42,,,,,,,,,,
SS0997_PP450_SM2_BF1_Base,SUCCESS,19.0,76.0,,43295.0,0.3756,0.24,Jan  5 13:54,Jan  6 08:17,,,,,,,,,,
