folder,status,duration,su,failure_reason,vol_error_af,vol_error_pct,max_wsel_err,start_time,end_time,clean_failure_info,max_wse,max_depth,max_velocity,max_volume,max_flow_balance,max_wind,max_bc_flow,max_bc_stage,max_cum_prcp
SS1462_PP276_SM5_BF1_Base,N/A,N/A,N/A,N/A,35738.20703125,0.7504928112030029,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.6,N/A,558029632.0,135785.296875,N/A,10500.0,3.6906988620758057,3.8439552783966064
SS1462_PP282_SM3_BF1_Base,N/A,N/A,N/A,N/A,38457.31640625,0.7976734638214111,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.29,N/A,558029632.0,136166.8125,N/A,5590.0,3.6906988620758057,10.819985389709473
SS1462_PP276_SM2_BF1_Base,N/A,N/A,N/A,N/A,33943.3046875,0.7150625586509705,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.4,N/A,558029632.0,135773.078125,N/A,14172.6298828125,3.6906988620758057,3.8439552783966064
SS1462_PP284_SM4_BF1_Base,N/A,N/A,N/A,N/A,35736.21484375,0.7531338930130005,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.97,N/A,558029632.0,136222.84375,N/A,5350.0,3.6906988620758057,4.886966705322266
SS1462_PP274_SM3_BF1_Base,N/A,N/A,N/A,N/A,32265.48046875,0.6823354363441467,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,9.03,N/A,558029632.0,136145.15625,N/A,6360.0,3.6906988620758057,6.154327869415283
SS1462_PP278_SM2_BF1_Base,N/A,N/A,N/A,N/A,36335.67578125,0.7645266056060791,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,28.19,N/A,558029632.0,136548.5625,N/A,6610.0,3.6906988620758057,7.358282089233398
SS1462_PP285_SM4_BF1_Base,N/A,N/A,N/A,N/A,34982.171875,0.7188920378684998,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,80.29,N/A,558029632.0,136149.875,N/A,9610.0,3.6906988620758057,4.738405227661133
SS1462_PP286_SM3_BF1_Base,N/A,N/A,N/A,N/A,34709.8515625,0.7337669730186462,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,32.89,N/A,558029632.0,136181.65625,N/A,4650.0,3.6906988620758057,3.7735066413879395
SS1462_PP288_SM2_BF1_Base,N/A,N/A,N/A,N/A,36314.26953125,0.7686901688575745,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,45.28,N/A,558029632.0,135773.515625,N/A,8670.0,3.6906988620758057,5.228248119354248
SS1462_PP293_SM4_BF1_Base,N/A,N/A,N/A,N/A,35871.16015625,0.7263970971107483,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.99,N/A,558029632.0,135826.640625,N/A,11700.0,3.6906988620758057,9.199329376220703
SS1462_PP292_SM2_BF1_Base,N/A,N/A,N/A,N/A,32571.55859375,0.6839766502380371,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,80.42,N/A,558029632.0,136008.328125,N/A,6000.0,3.6906988620758057,8.92900276184082
SS1462_PP287_SM1_BF1_Base,N/A,N/A,N/A,N/A,35366.99609375,0.7132219076156616,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.89,N/A,558029632.0,136113.21875,N/A,4560.0,3.6906988620758057,10.485052108764648
SS1462_PP291_SM4_BF1_Base,N/A,N/A,N/A,N/A,35972.34765625,0.7586613893508911,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,20.16,N/A,558029632.0,136124.46875,N/A,5010.0,3.6906988620758057,5.633695125579834
SS1462_PP296_SM3_BF1_Base,N/A,N/A,N/A,N/A,31662.623046875,0.6688554286956787,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,27.09,N/A,558029632.0,136177.625,N/A,6740.0,3.6906988620758057,6.549706935882568
SS1462_PP300_SM3_BF1_Base,N/A,N/A,N/A,N/A,27549.392578125,0.5813165307044983,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.35,N/A,558029632.0,136138.875,N/A,6190.0,3.6906988620758057,3.2363762855529785
SS1462_PP294_SM2_BF1_Base,N/A,N/A,N/A,N/A,28472.3125,0.5974879860877991,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.45,N/A,558029632.0,135842.890625,N/A,5760.0,3.6906988620758057,8.652312278747559
SS1462_PP297_SM2_BF1_Base,N/A,N/A,N/A,N/A,36699.9765625,0.7743498682975769,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.35,N/A,558029632.0,136285.515625,N/A,4610.0,3.6906988620758057,8.552652359008789
SS1462_PP307_SM2_BF1_Base,N/A,N/A,N/A,N/A,38150.79296875,0.7968780994415283,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.32,N/A,558029632.0,136117.125,N/A,7560.0,3.6906988620758057,6.309660911560059
SS1462_PP309_SM4_BF1_Base,N/A,N/A,N/A,N/A,33263.6875,0.7032767534255981,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,21.22,N/A,558029632.0,136147.34375,N/A,7230.0,3.6906988620758057,5.359514236450195
SS1462_PP308_SM3_BF1_Base,N/A,N/A,N/A,N/A,33382.80859375,0.7063312530517578,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.35,N/A,558029632.0,136092.828125,N/A,5250.0,3.6906988620758057,4.964184761047363
SS1462_PP306_SM4_BF1_Base,N/A,N/A,N/A,N/A,31092.869140625,0.6516802310943604,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.29,N/A,558029632.0,135930.015625,N/A,4940.0,3.6906988620758057,6.81196403503418
SS1462_PP312_SM3_BF1_Base,N/A,N/A,N/A,N/A,35801.72265625,0.7435303330421448,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.6,N/A,558029632.0,135893.8125,N/A,10700.0,3.6906988620758057,8.017833709716797
SS1462_PP311_SM4_BF1_Base,N/A,N/A,N/A,N/A,34271.44921875,0.7209802865982056,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.33,N/A,558029632.0,136169.265625,N/A,5050.0,3.6906988620758057,5.36395263671875
SS1462_PP313_SM2_BF1_Base,N/A,N/A,N/A,N/A,35990.6875,0.7415196299552917,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,80.17,N/A,558029632.0,136167.125,N/A,10700.0,3.6906988620758057,7.998589515686035
SS1462_PP314_SM3_BF1_Base,N/A,N/A,N/A,N/A,28625.841796875,0.5744392275810242,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.32,N/A,558029632.0,136066.890625,N/A,8400.0,3.6906988620758057,14.241983413696289
SS1462_PP310_SM3_BF1_Base,N/A,N/A,N/A,N/A,28347.009765625,0.5982229709625244,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.43,N/A,558029632.0,135773.890625,N/A,5750.0,3.6906988620758057,4.036237716674805
SS1462_PP317_SM3_BF1_Base,N/A,N/A,N/A,N/A,33177.51953125,0.7021626830101013,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.29,N/A,558029632.0,135758.796875,N/A,5680.0,3.6906988620758057,2.6799211502075195
SS1462_PP319_SM5_BF1_Base,N/A,N/A,N/A,N/A,28414.533203125,0.5970882773399353,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,80.16,N/A,558029632.0,136279.171875,N/A,5850.0,3.6906988620758057,6.072632789611816
SS1462_PP327_SM3_BF1_Base,N/A,N/A,N/A,N/A,28181.064453125,0.5834913849830627,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,80.45,N/A,558029632.0,135838.578125,N/A,9540.0,3.6906988620758057,6.444038391113281
SS1462_PP328_SM3_BF1_Base,N/A,N/A,N/A,N/A,27057.90234375,0.5694568157196045,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.75,N/A,558029632.0,136068.5625,N/A,6160.0,3.6906988620758057,6.129549026489258
SS1462_PP324_SM3_BF1_Base,N/A,N/A,N/A,N/A,28120.021484375,0.5891502499580383,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.29,N/A,558029632.0,135731.953125,N/A,12100.0,3.6906988620758057,6.372025966644287
SS1462_PP332_SM4_BF1_Base,N/A,N/A,N/A,N/A,35631.90234375,0.7421073913574219,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.91,N/A,558029632.0,135860.0625,N/A,6790.0,3.6906988620758057,5.137179851531982
SS1462_PP335_SM3_BF1_Base,N/A,N/A,N/A,N/A,36229.35546875,0.7680304050445557,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,9.96,N/A,558029632.0,135890.8125,N/A,4590.0,3.6906988620758057,6.849248886108398
SS1462_PP337_SM4_BF1_Base,N/A,N/A,N/A,N/A,51188.3359375,1.0774132013320923,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,80.57,N/A,558029632.0,135909.734375,N/A,5410.0,3.6906988620758057,5.826861381530762
SS1462_PP339_SM2_BF1_Base,N/A,N/A,N/A,N/A,34860.0546875,0.7366980910301208,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,80.11,N/A,558029632.0,136201.40625,N/A,4770.0,3.6906988620758057,4.462940216064453
SS1462_PP331_SM4_BF1_Base,N/A,N/A,N/A,N/A,34553.33203125,0.7181676030158997,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.91,N/A,558029632.0,136086.015625,N/A,4318.740234375,3.6906988620758057,8.253795623779297
SS1462_PP342_SM2_BF1_Base,N/A,N/A,N/A,N/A,32296.138671875,0.6820077300071716,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.32,N/A,558029632.0,136153.625,N/A,5460.0,3.6906988620758057,4.655503273010254
SS1462_PP346_SM3_BF1_Base,N/A,N/A,N/A,N/A,28686.169921875,0.605736494064331,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,8.91,N/A,558029632.0,136330.875,N/A,6360.0,3.6906988620758057,2.7423322200775146
SS1462_PP348_SM3_BF1_Base,N/A,N/A,N/A,N/A,32952.85546875,0.6964238286018372,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.35,N/A,558029632.0,136142.390625,N/A,5460.0,3.6906988620758057,4.989166259765625
SS1462_PP345_SM3_BF1_Base,N/A,N/A,N/A,N/A,27777.908203125,0.5871208906173706,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.95,N/A,558029632.0,135739.40625,N/A,6000.0,3.6906988620758057,4.507519721984863
SS1462_PP344_SM3_BF1_Base,N/A,N/A,N/A,N/A,27422.947265625,0.5778631567955017,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,80.08,N/A,558029632.0,136190.5625,N/A,7050.0,3.6906988620758057,6.785735607147217
SS1462_PP352_SM4_BF1_Base,N/A,N/A,N/A,N/A,35278.62109375,0.7355272769927979,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.72,N/A,558029632.0,135928.609375,N/A,7720.0,3.6906988620758057,5.603480339050293
SS1462_PP341_SM4_BF1_Base,N/A,N/A,N/A,N/A,34525.171875,0.7127152681350708,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,79.32,N/A,558029632.0,135906.203125,N/A,8210.0,3.6906988620758057,8.601303100585938
SS1462_PP359_SM4_BF1_Base,N/A,N/A,N/A,N/A,36651.23828125,0.766435444355011,0.0,05Jul2000 08:00:00,16Jul2000 00:00:00,N/A,327.6592712402344,23.17,N/A,558029632.0,135825.234375,N/A,7450.0,3.6906988620758057,4.9358930587768555
