Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
clean_SS0981_PP190_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0768_PP345_SM5_BF1_Base,Success,15h 34m 8s,48,,35989.,0.4061,0.48,Jan 01 03:48,Jan 01 19:22,,327.66,12.16,106.37,568582144.0,133734.17,N/A,N/A,N/A,0.4
clean_SS0768_PP380_SM1_BF1_Base,Success,15h 56m 1s,48,,35440.,0.4020,0.78,Dec 31 05:43,Dec 31 21:39,,327.66,79.27,53.47,568582144.0,134191.98,N/A,N/A,N/A,0.44
clean_SS0982_PP006_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0768_PP454_SM3_BF1_Base,Success,15h 37m 16s,48,,35414.,0.3993,0.38,Dec 30 16:19,Dec 31 07:57,,327.66,20.98,106.39,568582144.0,133747.14,N/A,N/A,N/A,0.42
clean_SS0982_PP225_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0982_PP229_SM1_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0982_PP272_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0982_PP276_SM1_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0768_PP393_SM2_BF1_Base,Success,14h 38m 40s,45,,35158.,0.3923,0.67,Jan 01 00:31,Jan 01 15:10,,327.66,20.45,106.38,568582144.0,132800.66,N/A,N/A,N/A,0.42
clean_SS0768_PP365_SM3_BF1_Base,Success,18h 4m 12s,57,,35416.,0.3977,0.20,Dec 30 16:02,Dec 31 10:06,,327.66,9.23,106.37,568582144.0,133590.97,N/A,N/A,N/A,0.45
clean_SS0775_PP319_SM1_BF1_Base,Success,10h 59m 15s,33,,24845.,0.3333,0.83,Dec 30 15:57,Dec 31 02:56,,327.66,13.07,40.54,568871168.0,165477.25,N/A,N/A,N/A,0.41
clean_SS0768_PP423_SM2_BF1_Base,Success,16h 48m 37s,51,,35372.,0.4007,0.41,Jan 01 01:10,Jan 01 17:59,,327.66,7.26,69.9,568582144.0,134349.02,N/A,N/A,N/A,0.32
clean_SS0986_PP197_SM1_BF1_Base,Failed,6h 40m 51s,0,,N/A,N/A,N/A,Dec 31 13:48,Dec 31 20:29,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0776_PP107_SM3_BF1_Base,Success,16h 32m 9s,51,,35308.,0.3355,0.23,Dec 31 22:57,Jan 01 15:29,,327.66,17.93,106.39,561374976.0,191413.69,N/A,N/A,N/A,0.34
clean_SS0978_PP083_SM2_BF1_Base,Success,17h 37m 39s,54,,42824.,0.4344,2.07,Dec 31 20:49,Jan 01 14:26,,327.66,79.76,56.42,570957312.0,232020.91,N/A,N/A,N/A,5.92
clean_SS0986_PP197_SM5_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0986_PP451_SM1_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0776_PP379_SM2_BF1_Base,Success,16h 38m 45s,51,,35796.,0.3410,0.83,Jan 01 00:02,Jan 01 16:41,,327.66,11.57,56.52,560079680.0,192822.16,N/A,N/A,N/A,0.41
clean_SS0776_PP284_SM3_BF1_Base,Success,17h 12m 16s,54,,36001.,0.3439,0.83,Dec 30 15:57,Dec 31 09:09,,327.66,10.98,106.38,559517504.0,193091.7,N/A,N/A,N/A,0.24
clean_SS0776_PP397_SM3_BF1_Base,Success,16h 4m 2s,51,,35711.,0.3418,0.48,Jan 01 02:39,Jan 01 18:43,,327.66,28.26,64.7,560749696.0,192844.52,N/A,N/A,N/A,0.39
clean_SS0986_PP451_SM5_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0987_PP058_SM5_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0987_PP330_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0986_PP451_SM4_BF1_Base,Failed,16h 51m 44s,0,,N/A,N/A,N/A,Dec 31 08:58,Jan 01 01:50,", filename = 'COJCOMPOUNDCOMPUTET.p01.tmp.hdf', file descriptor = 3, errno = 122, error message = 'Disk quota exceeded', buf = 0x1751080d, total write size = 2370424, bytes this sub-write = 2370424, bytes actually written = 18446744073709551615, offset = 0 HDF_ERROR trying to use HDF output file HDF_ERROR trying to close HDF output file:",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP005_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0979_PP141_SM2_BF1_Base,Success,17h 42m 48s,54,,39629.,0.3874,1.14,Jan 01 09:22,Jan 02 03:05,,327.66,79.44,106.38,561124608.0,192353.09,N/A,N/A,N/A,9.25
clean_SS0989_PP019_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP036_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0982_PP403_SM4_BF1_Base,Success,15h 57m 41s,48,,45432.,0.4546,1.18,Dec 31 20:43,Jan 01 12:40,,327.66,79.78,46.3,569509952.0,234964.77,N/A,N/A,N/A,15.31
clean_SS0979_PP299_SM3_BF1_Base,Success,18h 27m 28s,57,,41772.,0.4100,1.04,Dec 31 23:02,Jan 01 17:30,,327.66,79.47,106.38,559348160.0,200222.94,N/A,N/A,N/A,7.8
clean_SS0989_PP050_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP053_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0981_PP242_SM4_BF1_Base,Success,19h 10m 49s,60,,53725.,0.4439,1.15,Dec 31 14:19,Jan 01 09:30,,327.66,80.29,106.39,564037440.0,216903.75,N/A,N/A,N/A,31.71
clean_SS0980_PP103_SM3_BF1_Base,Success,21h 58m 30s,66,,74222.,0.6480,1.69,Dec 30 16:40,Dec 31 14:38,,327.66,80.89,106.38,577525632.0,230965.06,N/A,N/A,N/A,30.97
clean_SS0981_PP360_SM5_BF1_Base,Success,21h 22m 0s,66,,46893.,0.3297,3.63,Jan 01 04:47,Jan 02 02:09,,329.36,81.59,83.09,643249344.0,177685.23,N/A,N/A,N/A,41.76
clean_SS0989_PP072_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0982_PP154_SM4_BF1_Base,Success,18h 17m 7s,57,,44582.,0.3965,4.91,Jan 01 03:58,Jan 01 22:15,,329.2,82.17,24.58,574739776.0,234708.11,N/A,N/A,N/A,30.9
clean_SS0982_PP469_SM5_BF1_Base,Success,15h 30m 16s,48,,43843.,0.3832,2.06,Jan 01 01:29,Jan 01 16:59,,327.66,79.8,41.19,567412544.0,235586.86,N/A,N/A,N/A,26.65
clean_SS0989_PP130_SM4_BF1_Base,Failed,13h 8m 16s,0,,N/A,N/A,N/A,Dec 31 11:48,Jan 01 00:57,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP133_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0982_PP492_SM2_BF1_Base,Success,16h 20m 42s,51,,46503.,0.4645,3.65,Dec 31 13:25,Jan 01 05:45,,327.66,81.86,31.96,571776128.0,234490.05,N/A,N/A,N/A,21.7
clean_SS0989_PP043_SM2_BF1_Base,Failed,7h 14m 32s,0,,N/A,N/A,N/A,Dec 31 12:32,Dec 31 19:47,", filename = 'COJCOMPOUNDCOMPUTET.p01.tmp.hdf', file descriptor = 3, errno = 122, error message = 'Disk quota exceeded', buf = 0x12a74b50, total write size = 269097, bytes this sub-write = 269097, bytes actually written = 18446744073709551615, offset = 0 HDF_ERROR trying to use HDF output file HDF_ERROR trying to close HDF output file:",327.66,5.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP176_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0986_PP197_SM3_BF1_Base,Success,23h 20m 48s,72,,91612.,0.6037,3.80,Dec 31 09:26,Jan 01 08:47,,327.66,81.81,40.96,608974080.0,293643.75,N/A,N/A,N/A,47.97
clean_SS0989_PP184_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP195_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP204_SM1_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0985_PP483_SM1_BF1_Base,Success,19h 9m 59s,60,,43592.,0.3004,2.67,Jan 01 09:40,Jan 02 04:50,,327.66,79.45,106.38,572390336.0,201578.39,N/A,N/A,N/A,8.24
clean_SS0989_PP262_SM1_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP268_SM3_BF1_Base,Failed,0h 0m 15s,0,,N/A,N/A,N/A,Dec 31 21:57,Dec 31 21:57,HDF5-DIAG: Error detected in HDF5 (1.10.8) thread 0: HDF_ERROR trying to use HDF output file HDF_ERROR trying to close HDF output file:,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP283_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP308_SM1_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP312_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP317_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0987_PP330_SM5_BF1_Base,Success,17h 32m 36s,54,,44611.,0.2479,4.15,Dec 30 15:38,Dec 31 09:10,,329.87,80.64,25.35,846336192.0,252931.92,N/A,N/A,N/A,48.87
clean_SS0989_PP333_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP041_SM3_BF1_Base,Success,16h 43m 0s,51,,41369.,0.4269,0.82,Dec 31 15:38,Jan 01 08:21,,327.66,79.34,106.37,572432128.0,154355.06,N/A,N/A,N/A,6.38
clean_SS0986_PP451_SM2_BF1_Base,Success,22h 35m 51s,69,,91830.,0.6125,3.99,Jan 01 02:00,Jan 02 00:35,,327.66,82.64,27.82,601858432.0,291463.53,N/A,N/A,N/A,43.74
clean_SS0989_PP384_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0986_PP197_SM4_BF1_Base,Success,23h 52m 49s,72,,80470.,0.5014,3.92,Dec 31 11:12,Jan 01 11:05,,327.66,81.84,40.96,611442368.0,291463.56,N/A,N/A,N/A,47.97
clean_SS0989_PP412_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP414_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP059_SM3_BF1_Base,Success,17h 25m 55s,54,,42793.,0.4381,1.17,Jan 01 01:21,Jan 01 18:47,,327.66,80.09,106.38,572432128.0,159033.8,N/A,N/A,N/A,7.52
clean_SS0989_PP418_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP421_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP425_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP015_SM3_BF1_Base,Success,16h 31m 32s,51,,43230.,0.4348,1.47,Jan 01 00:33,Jan 01 17:04,,327.66,79.46,69.93,572432128.0,157693.77,N/A,N/A,N/A,12.38
clean_SS0989_PP439_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP444_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP068_SM2_BF1_Base,Success,18h 0m 1s,57,,40962.,0.4154,2.90,Dec 30 15:54,Dec 31 09:54,,327.66,80.05,50.29,572432128.0,139133.56,N/A,N/A,N/A,13.26
clean_SS0989_PP446_SM1_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP159_SM3_BF1_Base,Success,17h 13m 43s,54,,40581.,0.4175,1.24,Dec 30 16:24,Dec 31 09:38,,327.66,79.82,106.39,572432128.0,161944.7,N/A,N/A,N/A,6.1
clean_SS0989_PP490_SM3_BF1_Base,Failed,12h 46m 28s,0,,N/A,N/A,N/A,Dec 31 07:12,Dec 31 19:58,", filename = 'COJCOMPOUNDCOMPUTET.p01.tmp.hdf', file descriptor = 3, errno = 122, error message = 'Disk quota exceeded', buf = 0x14f763c0, total write size = 1278154, bytes this sub-write = 1278154, bytes actually written = 18446744073709551615, offset = 0 HDF_ERROR trying to use HDF output file HDF_ERROR trying to close HDF output file:",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP491_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0986_PP451_SM3_BF1_Base,Success,23h 42m 42s,72,,91329.,0.6070,3.99,Dec 30 16:14,Dec 31 15:57,,327.66,82.65,27.82,601142656.0,291463.56,N/A,N/A,N/A,43.74
clean_SS0989_PP107_SM4_BF1_Base,Success,17h 12m 10s,54,,42802.,0.4324,1.17,Dec 30 15:53,Dec 31 09:05,,327.66,79.42,106.39,572432128.0,148842.78,N/A,N/A,N/A,11.87
clean_SS0989_PP136_SM2_BF1_Base,Success,18h 17m 33s,57,,40105.,0.4113,3.12,Dec 31 20:37,Jan 01 14:55,,327.66,80.58,41.67,572432128.0,150117.88,N/A,N/A,N/A,7.29
clean_SS0990_PP011_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP063_SM2_BF1_Base,Success,15h 27m 36s,48,,42349.,0.4299,1.20,Jan 01 05:53,Jan 01 21:20,,327.66,80.09,106.39,572432128.0,140013.95,N/A,N/A,N/A,9.13
clean_SS0990_PP014_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0990_PP017_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP122_SM1_BF1_Base,Success,19h 3m 43s,60,,41659.,0.4272,1.33,Dec 30 16:02,Dec 31 11:06,,327.66,79.77,53.29,572432128.0,157928.62,N/A,N/A,N/A,8.1
clean_SS0990_PP058_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
