Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft)
S1057,Success,6h 20m 17s,21,,16241.0,0.2475,1.01,Jul 23 16:52,Jul 23 23:13,,327.66,6.34,6.82,580197440.0,227311.02,72.35,0.43,8.24
S1063,Success,11h 1m 0s,36,,19740.0,0.2599,0.59,Jul 23 16:59,Jul 24 04:00,,327.66,13.71,7.4,628121280.0,239993.7,94.45,1.16,8.24
S1244,Success,5h 19m 3s,18,,13494.0,0.2469,0.89,Jul 23 16:55,Jul 23 22:14,,327.66,5.82,6.31,575905088.0,169521.67,77.48,0.33,8.24
S1242,Success,4h 21m 45s,15,,10059.0,0.214,1.37,Jul 23 16:55,Jul 23 21:16,,327.66,9.35,7.88,566170880.0,236450.28,159.11,0.28,8.24
S1241,Success,9h 32m 4s,30,,23397.0,0.309,2.35,Jul 23 17:03,Jul 24 02:35,,327.66,14.13,11.45,598241856.0,194158.86,114.08,0.58,11.55
S1238,Success,11h 53m 39s,36,,22408.0,0.2973,2.31,Jul 23 17:03,Jul 24 04:56,,327.66,14.13,11.52,595539584.0,216812.05,174.74,0.58,11.55
S1246,Success,9h 51m 39s,30,,22240.0,0.3267,1.1,Jul 23 17:00,Jul 24 02:51,,327.66,10.81,8.57,586161280.0,238996.72,228.31,0.43,8.24
S1252,Success,4h 4m 22s,15,,9907.0,0.2274,0.27,Jul 23 16:55,Jul 23 21:00,,327.66,5.5,5.1,570709952.0,136677.28,105.81,0.31,8.24
S1250,Success,10h 22m 6s,33,,18299.0,0.2504,1.3,Jul 23 16:56,Jul 24 03:18,,327.66,13.81,9.58,599686208.0,310339.34,106.02,0.81,8.24
S1245,Success,8h 2m 14s,27,,20811.0,0.276,2.31,Jul 23 17:02,Jul 24 01:04,,327.66,14.13,11.52,595666112.0,215854.62,47.62,0.58,11.55
