Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
clean_SS1627_PP381_SM2_BF1_Base,Success,15h 1m 45s,48,,43469.0,0.4984,1.11,Dec 30 15:53,Dec 31 06:55,,327.66,79.85,45.56,560429760.0,213574.84,,,,4.07
clean_SS1620_PP442_SM3_BF1_Base,Success,18h 22m 7s,57,,40249.0,0.3985,0.69,Dec 30 16:46,Dec 31 11:08,,327.66,79.3,109.94,569545088.0,206553.0,,,,8.65
clean_SS1623_PP233_SM5_BF1_Base,Success,18h 43m 59s,57,,105965.0,0.9782,1.27,Dec 30 16:31,Dec 31 11:15,,327.66,79.28,106.37,564785792.0,186605.41,,,,13.04
clean_SS1620_PP395_SM1_BF1_Base,Success,19h 50m 42s,60,,43419.0,0.4285,1.18,Dec 30 16:12,Dec 31 12:03,,327.66,79.45,106.38,569545088.0,206542.58,,,,7.38
clean_SS1628_PP094_SM3_BF1_Base,Success,18h 47m 56s,57,,36482.0,0.4335,1.11,Dec 30 16:16,Dec 31 11:04,,327.66,80.36,40.91,553798336.0,138514.09,,,,3.61
clean_SS1620_PP486_SM2_BF1_Base,Success,19h 17m 24s,60,,41892.0,0.4136,0.74,Dec 30 16:26,Dec 31 11:44,,327.66,79.37,106.38,569545088.0,207333.22,,,,4.31
clean_SS1628_PP116_SM3_BF1_Base,Success,16h 1m 33s,51,,39518.0,0.4704,1.44,Dec 30 16:24,Dec 31 08:26,,327.66,79.33,106.38,553798336.0,139407.97,,,,5.27
clean_SS1628_PP171_SM3_BF1_Base,Success,14h 53m 26s,45,,38979.0,0.464,1.22,Dec 30 16:28,Dec 31 07:22,,327.66,14.26,106.39,553798336.0,138451.23,,,,5.25
clean_SS1628_PP218_SM2_BF1_Base,Success,14h 50m 51s,45,,36024.0,0.4279,0.28,Dec 30 16:25,Dec 31 07:16,,327.66,71.86,106.38,553798336.0,138360.23,,,,6.37
clean_SS1628_PP356_SM1_BF1_Base,Success,15h 19m 6s,48,,37985.0,0.4505,0.63,Dec 30 16:25,Dec 31 07:44,,327.66,21.2,106.38,553798336.0,139073.7,,,,3.17
clean_SS1628_PP228_SM4_BF1_Base,Success,15h 50m 27s,48,,37002.0,0.4353,0.42,Dec 30 15:55,Dec 31 07:46,,327.66,47.81,109.94,553798336.0,137934.91,,,,4.21
clean_SS1636_PP077_SM4_BF1_Base,Success,12h 19m 12s,39,,28262.0,0.3647,0.48,Dec 30 15:36,Dec 31 03:55,,327.66,13.69,55.19,561953664.0,203633.75,,,,1.29
