Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info
S0998,Success,7h 10m 54s,24,,18787.,0.2761,0.17,Jul 22 18:37,Jul 23 01:48,
S0999,Success,8h 40m 21s,27,,22401.,0.2948,2.31,Jul 22 18:40,Jul 23 03:20,
S1000,Success,6h 22m 19s,21,,17281.,0.2998,0.16,Jul 22 18:36,Jul 23 00:58,
S1001,Success,3h 46m 22s,12,,9771.,0.2165,0.16,Jul 22 18:33,Jul 22 22:20,
S1002,Success,9h 49m 42s,30,,20975.,0.2778,2.31,Jul 22 18:41,Jul 23 04:30,
S1003,Success,6h 53m 31s,21,,13795.,0.2262,0.21,Jul 22 18:34,Jul 23 01:28,
S1004,Success,6h 35m 14s,21,,13188.,0.2196,0.16,Jul 22 18:34,Jul 23 01:09,
S1005,Success,9h 47m 8s,30,,21517.,0.2846,1.95,Jul 22 18:40,Jul 23 04:27,
S1006,Success,10h 27m 45s,33,,17618.,0.2966,0.12,Jul 23 16:45,Jul 24 03:12,
S1007,Success,10h 8m 59s,33,,17476.,0.2695,0.15,Jul 23 16:44,Jul 24 02:53,
S1008,Success,9h 21m 12s,30,,13875.,0.2446,0.17,Jul 23 16:41,Jul 24 02:03,
S1009,Success,9h 15m 37s,30,,17062.,0.2789,0.13,Jul 23 16:44,Jul 24 02:00,
S1010,Success,9h 26m 4s,30,,20563.,0.2589,0.14,Jul 23 16:47,Jul 24 02:13,
S1011,Success,11h 34m 20s,36,,20061.,0.3169,0.13,Jul 23 16:47,Jul 24 04:21,
S1012,Success,11h 56m 55s,36,,22269.,0.3102,0.35,Jul 23 16:47,Jul 24 04:44,
S1013,Success,7h 54m 24s,24,,17701.,0.2747,0.52,Jul 23 16:45,Jul 24 00:40,
S1014,Success,8h 55m 2s,27,,22210.,0.2834,3.48,Jul 23 16:45,Jul 24 01:40,
S1015,Success,9h 28m 36s,30,,16847.,0.2460,0.21,Jul 23 16:43,Jul 24 02:12,
S1016,Success,11h 50m 29s,36,,28451.,0.3405,2.42,Jul 23 16:46,Jul 24 04:37,
S1017,Success,5h 32m 20s,18,,7942.,0.1727,0.14,Jul 23 16:41,Jul 23 22:14,
S1018,Success,7h 35m 51s,24,,16959.,0.2679,0.12,Jul 23 16:44,Jul 24 00:20,
S1019,Success,11h 1m 47s,36,,33115.,0.3482,3.82,Jul 23 16:47,Jul 24 03:48,
S1020,Success,8h 27m 28s,27,,17526.,0.2504,0.22,Jul 23 16:45,Jul 24 01:13,
S1021,Success,12h 6m 39s,39,,20966.,0.2777,2.17,Jul 23 16:49,Jul 24 04:55,
S1022,Success,12h 4m 45s,39,,20944.,0.2490,0.96,Jul 23 16:47,Jul 24 04:52,
S1023,Success,11h 14m 30s,36,,16263.,0.2328,1.36,Jul 23 16:44,Jul 24 03:58,
S1024,Success,5h 11m 18s,18,,8425.,0.1996,0.09,Jul 23 16:41,Jul 23 21:53,
S1025,Success,13h 13m 47s,42,,20177.,0.2597,0.18,Jul 23 16:46,Jul 24 06:00,
S1026,Success,7h 20m 13s,24,,20082.,0.3043,0.14,Jul 23 16:51,Jul 24 00:11,
S1027,Success,7h 54m 47s,24,,20791.,0.2760,1.95,Jul 23 16:54,Jul 24 00:49,
S1028,Success,6h 14m 14s,21,,16822.,0.2840,0.12,Jul 23 16:48,Jul 23 23:02,
S1029,Success,11h 1m 0s,36,,18269.,0.2175,0.73,Jul 23 16:50,Jul 24 03:51,
S1030,Success,4h 57m 3s,15,,8237.,0.1885,0.14,Jul 23 16:46,Jul 23 21:43,
S1031,Success,7h 12m 57s,24,,16932.,0.2433,0.18,Jul 23 16:48,Jul 24 00:01,
S1032,Success,6h 24m 56s,21,,15963.,0.2798,0.10,Jul 23 16:47,Jul 23 23:12,
S1033,Success,11h 14m 47s,36,,252007.,3.274,4.52,Jul 23 16:54,Jul 24 04:09,
S1034,Success,5h 52m 56s,18,,24073.,0.4143,2.71,Jul 23 16:46,Jul 23 22:39,
S1035,Success,6h 22m 53s,21,,31542.,0.4954,2.33,Jul 23 16:47,Jul 23 23:09,
S1036,Success,7h 0m 21s,24,,22924.,0.3063,3.13,Jul 23 16:47,Jul 23 23:47,
S1037,Success,6h 45m 1s,21,,18476.,0.3042,0.18,Jul 23 16:50,Jul 23 23:35,
S1038,Success,7h 45m 1s,24,,16796.,0.2614,0.79,Jul 23 16:48,Jul 24 00:33,
S1039,Success,9h 26m 33s,30,,20740.,0.2750,2.19,Jul 23 16:54,Jul 24 02:20,
S1040,Success,7h 50m 8s,24,,17651.,0.2825,0.34,Jul 23 16:50,Jul 24 00:40,
S1041,Success,8h 6m 57s,27,,17434.,0.2636,2.84,Jul 23 16:49,Jul 24 00:56,
S1042,Success,7h 6m 35s,24,,18374.,0.2688,2.26,Jul 23 16:46,Jul 23 23:52,
S1043,Success,12h 13m 23s,39,,58816.,0.7670,4.17,Jul 23 16:53,Jul 24 05:06,
S1044,Success,4h 32m 46s,15,,9354.,0.1897,0.39,Jul 23 16:46,Jul 23 21:19,
S1045,Success,7h 57m 2s,24,,16916.,0.2526,0.17,Jul 23 16:49,Jul 24 00:46,
S1046,Success,8h 3m 20s,27,,13651.,0.2741,0.14,Jul 23 16:50,Jul 24 00:53,
S1048,Success,8h 14m 0s,27,,20734.,0.2750,2.44,Jul 23 16:59,Jul 24 01:13,
S1049,Success,6h 27m 32s,21,,16155.,0.2675,0.22,Jul 23 16:53,Jul 23 23:20,
S1050,Success,7h 36m 37s,24,,18314.,0.2511,1.70,Jul 23 16:55,Jul 24 00:32,
S1051,Success,8h 36m 19s,27,,21416.,0.2826,2.31,Jul 23 16:58,Jul 24 01:35,
S1052,Success,3h 53m 5s,12,,9338.,0.2007,0.18,Jul 23 16:50,Jul 23 20:43,
S1053,Success,3h 44m 20s,12,,8092.,0.1641,0.18,Jul 23 16:50,Jul 23 20:34,
S1054,Success,7h 2m 2s,24,,17379.,0.2566,0.24,Jul 23 16:55,Jul 23 23:57,
S1055,Success,5h 42m 43s,18,,13528.,0.2042,2.34,Jul 23 16:52,Jul 23 22:34,
S1056,Success,7h 31m 6s,24,,17713.,0.2249,1.62,Jul 23 16:55,Jul 24 00:26,
S1057,Success,6h 20m 17s,21,,16241.,0.2475,1.01,Jul 23 16:52,Jul 23 23:13,
S1058,Success,3h 33m 56s,12,,8991.,0.1954,0.22,Jul 23 16:50,Jul 23 20:24,
S1059,Success,11h 44m 7s,36,,20685.,0.2744,2.16,Jul 23 16:58,Jul 24 04:42,
S1060,Success,3h 35m 39s,12,,8946.,0.1962,0.15,Jul 23 16:50,Jul 23 20:26,
