Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info
ntc_2019-09-16,Success,16h 34m 4s,51,,58692.,0.8495,1.14,Nov 10 16:33,Nov 11 09:07,
ntc_2019-09-19,Success,21h 2m 2s,66,,71025.,1.023,1.23,Nov 10 16:19,Nov 11 13:21,
ntc_2019-10-01,Success,13h 16m 14s,42,,44857.,0.6170,0.14,Nov 10 16:32,Nov 11 05:48,
ntc_2019-10-06,Success,23h 14m 42s,72,,52604.,0.6631,5.40,Nov 10 16:19,Nov 11 15:33,
ntc_2019-10-10,Failed,9h 7m 20s,0,,231271.,4.214,3.52,Nov 10 16:19,Nov 11 01:26,Overall Volume Accounting Error in Acre Feet: 231271. Overall Volume Accounting Error as percentage: 4.214 The maximum cell wsel error was 3.52
ntc_2019-11-09,Success,16h 55m 30s,51,,41973.,0.5893,0.14,Nov 10 16:19,Nov 11 09:14,
ntc_2019-11-17,Success,21h 15m 55s,66,,51186.,0.6825,3.09,Nov 10 16:19,Nov 11 13:34,
ntc_2019-12-08,Success,12h 51m 18s,39,,41976.,0.6660,0.84,Nov 10 16:33,Nov 11 05:24,
ntc_2019-12-12,Success,16h 43m 42s,51,,39690.,0.6171,3.20,Nov 10 16:30,Nov 11 09:13,
ntc_2019-12-25,Success,19h 7m 43s,60,,61582.,0.8460,7.26,Nov 10 16:19,Nov 11 11:26,
ntc_2020-01-18,Success,18h 58m 3s,57,,56777.,0.8427,0.40,Nov 10 16:19,Nov 11 11:17,
ntc_2020-01-22,Success,15h 42m 5s,48,,51408.,0.7631,0.33,Nov 10 16:19,Nov 11 08:01,
ntc_2020-01-30,Success,18h 40m 46s,57,,43998.,0.6763,0.86,Nov 10 16:19,Nov 11 10:59,
ntc_2020-02-21,Success,20h 11m 28s,63,,62202.,0.9053,1.22,Nov 10 16:19,Nov 11 12:30,
ntc_2020-03-06,Success,16h 25m 50s,51,,39135.,0.6328,2.83,Nov 10 16:30,Nov 11 08:55,
ntc_2020-04-01,Success,13h 55m 57s,42,,35928.,0.5519,1.19,Nov 10 16:21,Nov 11 06:17,
ntc_2020-04-16,Success,21h 58m 14s,66,,45572.,0.6403,2.92,Nov 10 16:26,Nov 11 14:24,
ntc_2020-06-16,Success,18h 7m 14s,57,,40285.,0.5879,4.79,Nov 10 16:19,Nov 11 10:26,
ntc_2020-09-16,Failed,12h 48m 11s,0,,626967.,11.97,4.75,Nov 10 16:19,Nov 11 05:07,Overall Volume Accounting Error in Acre Feet: 626967. Overall Volume Accounting Error as percentage: 11.97 The maximum cell wsel error was 4.75
ntc_2020-09-21,Failed,5h 43m 6s,0,,217932.,5.139,0.82,Nov 10 16:19,Nov 10 22:02,Overall Volume Accounting Error in Acre Feet: 217932. Overall Volume Accounting Error as percentage: 5.139 The maximum cell wsel error was 0.82
ntc_2020-10-04,Success,22h 53m 24s,69,,40578.,0.5494,3.25,Nov 10 16:19,Nov 11 15:12,
ntc_2020-10-05,Success,18h 24m 2s,57,,41642.,0.5759,5.79,Nov 10 16:21,Nov 11 10:45,
ntc_2020-10-19,Success,16h 13m 10s,51,,54586.,0.7245,1.82,Nov 10 16:32,Nov 11 08:45,
ntc_2020-12-16,Success,15h 29m 11s,48,,42279.,0.6099,3.17,Nov 10 16:21,Nov 11 07:50,
ntc_2021-01-24,Failed,15h 24m 21s,0,,34722.,0.5809,2.08,Nov 10 16:33,Nov 11 07:57,Overall Volume Accounting Error in Acre Feet: 34722. Overall Volume Accounting Error as percentage: 0.5809 The maximum cell wsel error was 2.08
ntc_2021-02-15,Failed,12h 14m 27s,0,,113097.,2.056,1.46,Nov 10 16:20,Nov 11 04:35,Overall Volume Accounting Error in Acre Feet: 113097. Overall Volume Accounting Error as percentage: 2.056 The maximum cell wsel error was 1.46
ntc_2021-02-22,Failed,4h 23m 22s,0,,7622.,0.2083,0.84,Nov 10 16:31,Nov 10 20:55,Overall Volume Accounting Error in Acre Feet: 7622. Overall Volume Accounting Error as percentage: 0.2083 The maximum cell wsel error was 0.84
ntc_2021-03-03,Success,15h 42m 31s,48,,49400.,0.7256,5.92,Nov 10 16:19,Nov 11 08:01,
ntc_2021-03-06,Success,17h 32m 21s,54,,74945.,1.076,5.45,Nov 10 16:20,Nov 11 09:52,
ntc_2021-03-21,Success,16h 51m 53s,51,,48321.,0.7357,2.21,Nov 10 16:19,Nov 11 09:10,
ntc_2021-11-06,Failed,12h 14m 26s,0,,118623.,1.815,2.91,Nov 10 16:19,Nov 11 04:33,Overall Volume Accounting Error in Acre Feet: 118623. Overall Volume Accounting Error as percentage: 1.815 The maximum cell wsel error was 2.91
ntc_2021-12-21,Success,17h 52m 40s,54,,53879.,0.8032,494.17,Nov 10 16:19,Nov 11 10:11,
ntc_2022-01-04,Success,13h 34m 33s,42,,36786.,0.5418,0.37,Nov 10 16:20,Nov 11 05:54,
ntc_2022-01-09,Success,20h 50m 3s,63,,55903.,0.7920,1.05,Nov 10 16:20,Nov 11 13:10,
ntc_2022-01-12,Success,14h 57m 51s,45,,56676.,0.8259,1.21,Nov 10 16:19,Nov 11 07:17,
ntc_2022-01-16,Failed,11h 42m 15s,0,,57165.,1.038,1.52,Nov 10 16:20,Nov 11 04:03,Overall Volume Accounting Error in Acre Feet: 57165. Overall Volume Accounting Error as percentage: 1.038 The maximum cell wsel error was 1.52
ntc_2022-01-22,Success,19h 56m 4s,60,,73010.,1.124,1.51,Nov 10 16:19,Nov 11 12:15,
ntc_2022-01-27,Success,15h 37m 28s,48,,70153.,1.043,0.79,Nov 10 16:19,Nov 11 07:56,
ntc_2022-02-06,Success,15h 52m 3s,48,,41723.,0.6066,4.12,Nov 10 16:19,Nov 11 08:11,
ntc_2022-03-01,Success,19h 16m 14s,60,,36861.,0.5574,0.77,Nov 10 16:20,Nov 11 11:36,
ntc_2022-05-13,Success,16h 54m 35s,51,,72174.,1.068,1.38,Nov 10 16:19,Nov 11 09:13,
ntc_2022-06-20,Success,16h 31m 55s,51,,44407.,0.6370,1.03,Nov 10 16:33,Nov 11 09:05,
ntc_2022-12-13,Success,15h 14m 26s,48,,39131.,0.5928,0.88,Nov 10 16:19,Nov 11 07:33,
ntc_2022-12-21,Success,20h 5m 7s,63,,56326.,0.8385,0.91,Nov 10 16:19,Nov 11 12:24,
ntc_2023-01-15,Success,16h 30m 41s,51,,62456.,0.9828,0.92,Nov 10 16:27,Nov 11 08:58,
ntc_2023-02-12,Success,15h 51m 27s,48,,76366.,1.226,105.91,Nov 10 16:20,Nov 11 08:11,
ntc_2023-03-08,Success,15h 5m 40s,48,,47984.,0.7543,36.63,Nov 10 16:20,Nov 11 07:26,
ntc_2023-03-11,Success,17h 47m 18s,54,,53450.,0.7898,22.25,Nov 10 16:19,Nov 11 10:06,
ntc_2023-03-21,Success,15h 23m 11s,48,,47825.,0.6931,0.98,Nov 10 16:33,Nov 11 07:56,
ntc_2023-03-29,Success,16h 47m 51s,51,,44293.,0.6806,1.51,Nov 10 16:21,Nov 11 09:08,
ntc_2023-04-10,Failed,17h 9m 29s,0,,46887.,0.8095,1.01,Nov 10 16:19,Nov 11 09:29,Overall Volume Accounting Error in Acre Feet: 46887. Overall Volume Accounting Error as percentage: 0.8095 The maximum cell wsel error was 1.01
ntc_2023-05-27,Success,21h 5m 51s,66,,72392.,0.9829,417.84,Nov 10 16:19,Nov 11 13:25,
ntc_2023-06-05,Success,17h 45m 46s,54,,63242.,0.8778,1.17,Nov 10 16:19,Nov 11 10:04,
ntc_2023-06-09,Success,17h 39m 44s,54,,58395.,0.7875,3.01,Nov 10 16:32,Nov 11 10:12,
ntc_2023-06-20,Failed,10h 39m 51s,0,,26879.,0.5645,207.62,Nov 10 16:23,Nov 11 03:03,Overall Volume Accounting Error in Acre Feet: 26879. Overall Volume Accounting Error as percentage: 0.5645 The maximum cell wsel error was 207.62
ntc_2023-09-28,Success,23h 19m 14s,72,,48613.,0.5859,3.18,Nov 10 16:20,Nov 11 15:39,
ntc_2023-10-02,Failed,4h 10m 14s,0,,2960926.,78.57,1.16,Nov 10 16:20,Nov 10 20:30,Overall Volume Accounting Error in Acre Feet: 2960926. Overall Volume Accounting Error as percentage: 78.57 The maximum cell wsel error was 1.16
ntc_2023-10-13,Success,16h 33m 26s,51,,58117.,0.8060,3.19,Nov 10 16:19,Nov 11 08:52,
ntc_2023-11-04,Success,14h 50m 9s,45,,42379.,0.5766,0.20,Nov 10 16:19,Nov 11 07:09,
ntc_2023-11-13,Success,15h 17m 59s,48,,92500.,1.210,644.85,Nov 10 16:32,Nov 11 07:50,
ntc_2023-11-15,Success,16h 32m 0s,51,,77983.,1.005,46.46,Nov 10 16:33,Nov 11 09:05,
ntc_2023-11-26,Success,16h 35m 16s,51,,47930.,0.6637,3.10,Nov 10 16:21,Nov 11 08:56,
ntc_2023-12-17,Success,21h 42m 28s,66,,114012.,1.457,91.74,Nov 10 16:19,Nov 11 14:01,
ntc_2024-01-06,Success,15h 29m 32s,48,,58706.,0.9318,5.66,Nov 10 16:18,Nov 11 07:48,
ntc_2024-02-01,Success,16h 14m 47s,51,,50559.,0.8117,44.67,Nov 10 16:20,Nov 11 08:34,
ntc_2024-02-06,Success,14h 59m 59s,45,,70755.,1.089,1.02,Nov 10 16:19,Nov 11 07:19,
ntc_2024-02-18,Success,17h 8m 41s,54,,46022.,0.6484,1.15,Nov 10 16:20,Nov 11 09:28,
ntc_2024-03-19,Success,14h 41m 28s,45,,45359.,0.6805,2.33,Nov 10 16:28,Nov 11 07:09,
ntc_2024-03-25,Success,18h 40m 19s,57,,73728.,1.130,4.03,Nov 10 16:19,Nov 11 10:59,
ntc_2024-05-20,Success,20h 0m 52s,63,,45023.,0.6748,2.95,Nov 10 16:19,Nov 11 12:20,
ntc_2024-06-19,Success,15h 29m 44s,48,,58282.,0.8462,1.40,Nov 10 16:21,Nov 11 07:51,
ntc_2024-09-04,Success,23h 21m 34s,72,,39145.,0.5197,6.16,Nov 10 16:19,Nov 11 15:41,
ntc_2024-09-10,Failed,17h 25m 8s,0,,198471.,2.993,287.68,Nov 10 16:19,Nov 11 09:44,Overall Volume Accounting Error in Acre Feet: 198471. Overall Volume Accounting Error as percentage: 2.993 The maximum cell wsel error was 287.68
ntc_2024-09-16,Success,22h 36m 33s,69,,40185.,0.5165,8.53,Nov 10 16:19,Nov 11 14:55,
ntc_2024-11-10,Success,17h 25m 19s,54,,70545.,0.9980,0.84,Nov 10 16:26,Nov 11 09:52,
ntc_2024-11-14,Success,15h 50m 45s,48,,53923.,0.7388,0.85,Nov 10 16:20,Nov 11 08:11,
ntc_2024-12-23,Success,14h 33m 15s,45,,56260.,0.8351,0.23,Nov 10 16:20,Nov 11 06:53,
ntc_2024-12-27,Success,14h 2m 7s,45,,45033.,0.7051,1.47,Nov 10 16:18,Nov 11 06:21,
