Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
SS0119_PP083_SM5_BF1_Base,Success,14h 33m 48s,45,,34358.,0.3623,0.43,Dec 30 16:21,Dec 31 06:55,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0119_PP105_SM1_BF1_Base,Success,14h 31m 45s,45,,34843.,0.3681,0.47,Dec 30 16:23,Dec 31 06:54,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0119_PP124_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 13:56,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0119_PP247_SM2_BF1_Base,Success,14h 50m 23s,45,,34877.,0.3699,0.41,Dec 30 16:22,Dec 31 07:12,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0119_PP266_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 10:09,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0119_PP319_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 06:57,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0119_PP477_SM4_BF1_Base,Success,15h 17m 9s,48,,34263.,0.3650,0.38,Dec 30 15:48,Dec 31 07:05,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP040_SM2_BF1_Base,Success,14h 19m 11s,45,,32274.,0.3423,0.44,Dec 30 15:38,Dec 31 05:57,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP085_SM2_BF1_Base,Success,14h 5m 22s,45,,32090.,0.3416,0.85,Dec 30 15:39,Dec 31 05:44,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP090_SM2_BF1_Base,Success,14h 57m 24s,45,,32909.,0.3494,0.49,Dec 30 16:10,Dec 31 07:08,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP127_SM2_BF1_Base,Success,15h 34m 17s,48,,32055.,0.3409,0.77,Dec 30 15:58,Dec 31 07:32,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP183_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:08,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP187_SM2_BF1_Base,Success,14h 4m 44s,45,,31950.,0.3415,0.23,Dec 30 16:09,Dec 31 06:14,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP207_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 04:36,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP253_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 05:50,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP271_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 11:39,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP276_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 10:37,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP341_SM4_BF1_Base,Success,14h 17m 49s,45,,32562.,0.3479,0.42,Dec 30 16:12,Dec 31 06:30,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP381_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 29 23:32,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP394_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 06:05,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP401_SM1_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 11:30,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP433_SM3_BF1_Base,Success,18h 7m 7s,57,,32261.,0.3445,1.23,Dec 30 15:41,Dec 31 09:48,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0120_PP472_SM3_BF1_Base,Success,14h 12m 22s,45,,32177.,0.3434,0.25,Dec 30 15:51,Dec 31 06:03,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0122_PP022_SM4_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:58,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
